tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
StrictMath_public_static_int_java_lang_StrictMath_round_float	unknown	0.469000	0.469000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_abs_long	unknown	0.483000	0.483000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_max_long_long	unknown	0.484000	0.484000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_min_long_long	unknown	0.500000	0.500000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_round_double	unknown	0.483000	0.483000	0.000000
String_public_boolean_java_lang_String_endsWith_java_lang_String	correct	0.679000	0.679000	0.000000
String_public_boolean_java_lang_String_equalsIgnoreCase_java_lang_String	unknown	0.467000	0.467000	0.000000
String_public_boolean_java_lang_String_isEmpty	correct	0.626000	0.626000	0.000000
String_public_boolean_java_lang_String_regionMatches_boolean_int_java_lang_String_int_int	unknown	0.494000	0.494000	0.000000
String_public_boolean_java_lang_String_regionMatches_int_java_lang_String_int_int	unknown	0.477000	0.477000	0.000000
String_public_boolean_java_lang_String_startsWith_java_lang_String	correct	0.663000	0.663000	0.000000
String_public_boolean_java_lang_String_startsWith_java_lang_String_int	unknown	0.480000	0.480000	0.000000
String_public_int_java_lang_String_compareToIgnoreCase_java_lang_String	unknown	0.484000	0.484000	0.000000
String_public_int_java_lang_String_compareTo_java_lang_String	unknown	0.476000	0.476000	0.000000
String_public_int_java_lang_String_indexOf_int	unknown	0.506000	0.506000	0.000000
String_public_int_java_lang_String_indexOf_int_int	unknown	0.486000	0.486000	0.000000
String_public_int_java_lang_String_indexOf_java_lang_String	unknown	0.478000	0.478000	0.000000
String_public_int_java_lang_String_indexOf_java_lang_String_int	unknown	0.506000	0.506000	0.000000
String_public_int_java_lang_String_lastIndexOf_int	unknown	0.499000	0.499000	0.000000
String_public_int_java_lang_String_lastIndexOf_int_int	unknown	0.491000	0.491000	0.000000
String_public_int_java_lang_String_lastIndexOf_java_lang_String	unknown	0.492000	0.492000	0.000000
String_public_int_java_lang_String_lastIndexOf_java_lang_String_int	unknown	0.506000	0.506000	0.000000
String_public_int_java_lang_String_length	unknown	0.509000	0.509000	0.000000
String_public_java_lang_String_java_lang_String_concat_java_lang_String	correct	0.737000	0.737000	0.000000
String_public_java_lang_String_java_lang_String_replace_char_char	unknown	0.481000	0.481000	0.000000
String_public_java_lang_String_java_lang_String_toLowerCase	correct	0.473000	0.473000	0.000000
String_public_java_lang_String_java_lang_String_toString	unknown	0.569000	0.569000	0.000000
String_public_java_lang_String_java_lang_String_toUpperCase	correct	0.494000	0.494000	0.000000
String_public_java_lang_String_java_lang_String_trim	unknown	0.609000	0.609000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_boolean	unknown	0.506000	0.506000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_char	unknown	0.503000	0.503000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_double	unknown	0.495000	0.495000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_float	unknown	0.475000	0.475000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_int	unknown	0.480000	0.480000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_long	unknown	0.500000	0.500000	0.000000
